temperature,humidity,vibrations,speed,temperature_status,humidity_status,vibrations_status,speed_status
29.58,66.28,1.12,26.59,NORMAL,NORMAL,LOW,NORMAL
25.38,65.12,1.69,56.02,NORMAL,NORMAL,HIGH,LOW
32.33,61.78,1.17,21.25,LOW,NORMAL,LOW,NORMAL
35.36,72.91,1.33,50.79,MEDIUM,MEDIUM,MEDIUM,LOW
31.4,61.29,1.11,25.18,LOW,NORMAL,LOW,NORMAL
36.25,65.04,1.07,91.78,MEDIUM,NORMAL,NORMAL,HIGH
30.27,74.3,0.95,92.09,LOW,HIGH,NORMAL,HIGH
34.83,63.61,1.13,65.38,MEDIUM,NORMAL,LOW,LOW
39.64,71.27,1.41,76.39,HIGH,MEDIUM,MEDIUM,MEDIUM
35.2,64.91,0.93,12.49,MEDIUM,NORMAL,NORMAL,NORMAL
35.46,63.06,1.32,80.77,MEDIUM,NORMAL,MEDIUM,MEDIUM
33.22,74.38,1.09,33.11,LOW,HIGH,NORMAL,NORMAL
33.47,72.78,1.21,98.64,LOW,MEDIUM,LOW,HIGH
38.69,65.52,1.68,81.63,HIGH,NORMAL,HIGH,MEDIUM
38.68,69.91,1.31,16.2,HIGH,LOW,MEDIUM,NORMAL
38.37,74.9,1.13,55.48,HIGH,HIGH,LOW,LOW
30.55,69.06,1.28,85.81,LOW,LOW,LOW,HIGH
25.65,61.16,1.48,78.78,NORMAL,NORMAL,MEDIUM,MEDIUM
24.03,61.82,1.04,48.32,NORMAL,NORMAL,NORMAL,NORMAL
32.95,73.47,1.46,82.01,LOW,HIGH,MEDIUM,MEDIUM
35.59,63.49,1.25,60.06,MEDIUM,NORMAL,LOW,LOW
25.71,69.27,1.51,20.77,NORMAL,LOW,HIGH,NORMAL
29.19,71.21,1.56,25.58,NORMAL,MEDIUM,HIGH,NORMAL
36.14,69.17,1.18,76.9,MEDIUM,LOW,LOW,MEDIUM
32.34,63.26,1.04,27.1,LOW,NORMAL,NORMAL,NORMAL
30.58,68.17,0.93,96.38,LOW,LOW,NORMAL,HIGH
36.4,71.47,1.31,88.98,MEDIUM,MEDIUM,MEDIUM,HIGH
38.32,68.24,0.91,83.37,HIGH,LOW,NORMAL,MEDIUM
37.79,60.31,1.05,30.1,MEDIUM,NORMAL,NORMAL,NORMAL
29.75,69.05,0.94,28.19,NORMAL,LOW,NORMAL,NORMAL
28.22,73.42,1.56,75.67,NORMAL,HIGH,HIGH,MEDIUM
37.83,69.51,1.67,60.9,MEDIUM,LOW,HIGH,LOW
39.91,62.12,1.6,60.61,HIGH,NORMAL,HIGH,LOW
35.35,60.07,0.92,16.86,MEDIUM,NORMAL,NORMAL,NORMAL
33.95,73.35,1.52,76.94,LOW,HIGH,HIGH,MEDIUM
37.24,62.2,1.51,36.12,MEDIUM,NORMAL,HIGH,NORMAL
24.01,64.07,1.29,23.31,NORMAL,NORMAL,LOW,NORMAL
24.79,72.54,1.14,19.5,NORMAL,MEDIUM,LOW,NORMAL
39.33,64.02,1.42,28.38,HIGH,NORMAL,MEDIUM,NORMAL
37.22,72.1,1.15,83.87,MEDIUM,MEDIUM,LOW,MEDIUM
34.65,68.04,1.17,55.44,MEDIUM,LOW,LOW,LOW
35.93,65.01,1.04,99.76,MEDIUM,NORMAL,NORMAL,HIGH
29.28,70.97,1.5,61.47,NORMAL,MEDIUM,MEDIUM,LOW
26.99,74.47,1.09,37.44,NORMAL,HIGH,NORMAL,NORMAL
39.18,60.41,1.47,23.57,HIGH,NORMAL,MEDIUM,NORMAL
24.91,67.7,1.49,79.84,NORMAL,LOW,MEDIUM,MEDIUM
39.3,61.22,1.11,72.67,HIGH,NORMAL,LOW,MEDIUM
35.8,66.68,1.54,12.36,MEDIUM,NORMAL,HIGH,NORMAL
33.31,73.26,1.25,93.56,LOW,HIGH,LOW,HIGH
34.11,74.13,1.31,54.9,MEDIUM,HIGH,MEDIUM,LOW
33.34,68.89,1.19,35.05,LOW,LOW,LOW,NORMAL
34.53,68.41,1.29,8.26,MEDIUM,LOW,LOW,NORMAL
28.23,62.8,1.55,14.02,NORMAL,NORMAL,HIGH,NORMAL
27.03,63.67,1.08,38.17,NORMAL,NORMAL,NORMAL,NORMAL
31.04,62.34,0.98,71.67,LOW,NORMAL,NORMAL,MEDIUM
31.98,64.03,1.27,90.51,LOW,NORMAL,LOW,HIGH
30.71,60.11,1.03,24.68,LOW,NORMAL,NORMAL,NORMAL
29.82,73.19,1.22,13.78,NORMAL,HIGH,LOW,NORMAL
32.01,71.63,1.51,58.11,LOW,MEDIUM,HIGH,LOW
28.23,61.82,1.64,76.09,NORMAL,NORMAL,HIGH,MEDIUM
33.78,71.27,1.53,77.08,LOW,MEDIUM,HIGH,MEDIUM
25.14,74.75,1.05,65.7,NORMAL,HIGH,NORMAL,LOW
34.92,68.35,1.11,58.56,MEDIUM,LOW,LOW,LOW
31.92,62.44,1.4,86.66,LOW,NORMAL,MEDIUM,HIGH
25.88,71.18,1.6,87.26,NORMAL,MEDIUM,HIGH,HIGH
36.02,67.68,1.12,60.01,MEDIUM,LOW,LOW,LOW
39.42,66.06,1.12,18.89,HIGH,NORMAL,LOW,NORMAL
28.06,74.44,1.07,58.01,NORMAL,HIGH,NORMAL,LOW
28.97,68.31,1.19,36.76,NORMAL,LOW,LOW,NORMAL
30.31,72.55,1.01,90.75,LOW,MEDIUM,NORMAL,HIGH
25.04,66.11,0.93,71.18,NORMAL,NORMAL,NORMAL,MEDIUM
24.12,71.04,1.18,55.41,NORMAL,MEDIUM,LOW,LOW
31.45,66.53,0.97,69.18,LOW,NORMAL,NORMAL,LOW
38.05,60.06,1.4,72.11,HIGH,NORMAL,MEDIUM,MEDIUM
37.43,60.32,1.28,84,MEDIUM,NORMAL,LOW,MEDIUM
34.36,67.58,1.64,52.65,MEDIUM,LOW,HIGH,LOW
33.34,72.38,1.05,56.44,LOW,MEDIUM,NORMAL,LOW
31.58,62.77,1.02,88.21,LOW,NORMAL,NORMAL,HIGH
29.8,72.83,1.54,6.78,NORMAL,MEDIUM,HIGH,NORMAL
25.2,68.02,1.56,71.01,NORMAL,LOW,HIGH,MEDIUM
24.63,61.88,1.13,59.21,NORMAL,NORMAL,LOW,LOW
38.05,65.97,1.2,31.42,HIGH,NORMAL,LOW,NORMAL
29.32,74.75,1.09,54.37,NORMAL,HIGH,NORMAL,LOW
36.41,66.97,1.41,82.38,MEDIUM,NORMAL,MEDIUM,MEDIUM
32.33,71.05,1.36,16.8,LOW,MEDIUM,MEDIUM,NORMAL
31.25,73.58,1.58,7.83,LOW,HIGH,HIGH,NORMAL
26.55,73.36,1.27,70,NORMAL,HIGH,LOW,LOW
30.59,68.41,1.06,21.59,LOW,LOW,NORMAL,NORMAL
35.16,65.22,1.59,8.09,MEDIUM,NORMAL,HIGH,NORMAL
38.52,62.14,1.59,89.88,HIGH,NORMAL,HIGH,HIGH
38.86,68.9,1.62,62.21,HIGH,LOW,HIGH,LOW
35.42,72,1.05,65.96,MEDIUM,MEDIUM,NORMAL,LOW
26.41,72.78,1.29,89.37,NORMAL,MEDIUM,LOW,HIGH
24.85,61.09,1.04,45.95,NORMAL,NORMAL,NORMAL,NORMAL
26.78,60.08,1.38,86.05,NORMAL,NORMAL,MEDIUM,HIGH
27.79,71.1,1.34,52.18,NORMAL,MEDIUM,MEDIUM,LOW
29.78,62.02,1.49,29.79,NORMAL,NORMAL,MEDIUM,NORMAL
34.09,60.27,1.03,21.4,MEDIUM,NORMAL,NORMAL,NORMAL
25.3,65.63,1.41,41.69,NORMAL,NORMAL,MEDIUM,NORMAL
25.4,70.75,1,79,NORMAL,MEDIUM,NORMAL,MEDIUM
28.18,65.83,1.5,72.76,NORMAL,NORMAL,MEDIUM,MEDIUM
31.02,73.96,1.61,42.43,LOW,HIGH,HIGH,NORMAL
29.86,66.33,1.3,91.07,NORMAL,NORMAL,LOW,HIGH
34.79,64.4,0.95,50.04,MEDIUM,NORMAL,NORMAL,LOW
24.3,73.17,1.06,20.66,NORMAL,HIGH,NORMAL,NORMAL
25.63,64.34,1.48,28.86,NORMAL,NORMAL,MEDIUM,NORMAL
39.16,64,1.63,35.32,HIGH,NORMAL,HIGH,NORMAL
35.34,65.01,1.28,7.92,MEDIUM,NORMAL,LOW,NORMAL
25.78,61.57,0.91,32.45,NORMAL,NORMAL,NORMAL,NORMAL
35.38,74.29,1.51,97.84,MEDIUM,HIGH,HIGH,HIGH
28.68,72.51,0.92,36.88,NORMAL,MEDIUM,NORMAL,NORMAL
33.69,62.15,1.54,43.89,LOW,NORMAL,HIGH,NORMAL
34.98,65.47,1.45,93.05,MEDIUM,NORMAL,MEDIUM,HIGH
39.93,61.68,1.16,21.77,HIGH,NORMAL,LOW,NORMAL
33.2,74.29,0.95,93.78,LOW,HIGH,NORMAL,HIGH
26.14,61.53,0.95,81.35,NORMAL,NORMAL,NORMAL,MEDIUM
31.04,69.67,1.58,49.36,LOW,LOW,HIGH,NORMAL
35.32,67.43,1.06,38.41,MEDIUM,LOW,NORMAL,NORMAL
32.47,64.57,0.95,29.6,LOW,NORMAL,NORMAL,NORMAL
30.74,72.3,1.13,22.62,LOW,MEDIUM,LOW,NORMAL
27.66,67.9,1.59,89.95,NORMAL,LOW,HIGH,HIGH
38.5,60.38,1.13,61.2,HIGH,NORMAL,LOW,LOW
28.38,72.64,1.65,30.32,NORMAL,MEDIUM,HIGH,NORMAL
37.78,64.34,1.42,68.5,MEDIUM,NORMAL,MEDIUM,LOW
33.77,62.17,1.02,25.78,LOW,NORMAL,NORMAL,NORMAL
28.35,66.78,0.94,32.05,NORMAL,NORMAL,NORMAL,NORMAL
35.81,63.74,0.93,33.11,MEDIUM,NORMAL,NORMAL,NORMAL
32.75,74.53,1.53,21.82,LOW,HIGH,HIGH,NORMAL
38.96,70.44,1.48,31.93,HIGH,MEDIUM,MEDIUM,NORMAL
32.53,65.81,1.64,37.46,LOW,NORMAL,HIGH,NORMAL
24.17,74.34,1.38,78.42,NORMAL,HIGH,MEDIUM,MEDIUM
38.01,70.06,1.68,66.83,HIGH,MEDIUM,HIGH,LOW
25.16,66.38,1.39,53.69,NORMAL,NORMAL,MEDIUM,LOW
36.83,61.81,1,16.02,MEDIUM,NORMAL,NORMAL,NORMAL
37.64,62.7,1.29,57.68,MEDIUM,NORMAL,LOW,LOW
26.39,72.15,1.59,40.05,NORMAL,MEDIUM,HIGH,NORMAL
38.25,71.23,1.63,67.22,HIGH,MEDIUM,HIGH,LOW
39.01,69.23,1.17,80.03,HIGH,LOW,LOW,MEDIUM
24.62,63.2,1.01,18.55,NORMAL,NORMAL,NORMAL,NORMAL
39.77,69.2,1.65,25.94,HIGH,LOW,HIGH,NORMAL
29,63.58,1.51,48.36,NORMAL,NORMAL,HIGH,NORMAL
39.58,74.75,1.61,31.78,HIGH,HIGH,HIGH,NORMAL
35.5,61.29,1,91.8,MEDIUM,NORMAL,NORMAL,HIGH
36.33,68.56,1.01,75.88,MEDIUM,LOW,NORMAL,MEDIUM
33.41,62.99,1.43,26.53,LOW,NORMAL,MEDIUM,NORMAL
36.82,73.16,1.03,65.23,MEDIUM,HIGH,NORMAL,LOW
36.72,66.83,1.09,61.32,MEDIUM,NORMAL,NORMAL,LOW
39.2,66.42,1.58,42.71,HIGH,NORMAL,HIGH,NORMAL
34.16,69.16,1.57,24.03,MEDIUM,LOW,HIGH,NORMAL
37.35,62.13,1.19,45.14,MEDIUM,NORMAL,LOW,NORMAL
30.19,72.25,1.66,79.92,LOW,MEDIUM,HIGH,MEDIUM
25.81,62.31,0.91,18.43,NORMAL,NORMAL,NORMAL,NORMAL
36.91,60.43,1.61,13.21,MEDIUM,NORMAL,HIGH,NORMAL
37.25,60.96,1.58,55.38,MEDIUM,NORMAL,HIGH,LOW
33.69,72.69,1.29,54.93,LOW,MEDIUM,LOW,LOW
29.66,65.25,1.55,31.35,NORMAL,NORMAL,HIGH,NORMAL
30.06,72.9,1.58,50.39,LOW,MEDIUM,HIGH,LOW
26.84,66.21,1.46,6.16,NORMAL,NORMAL,MEDIUM,NORMAL
34.41,62.97,1.05,61.16,MEDIUM,NORMAL,NORMAL,LOW
34.59,60.89,1.26,12.88,MEDIUM,NORMAL,LOW,NORMAL
39.59,60.55,0.95,39,HIGH,NORMAL,NORMAL,NORMAL
24.01,64.61,0.99,28.54,NORMAL,NORMAL,NORMAL,NORMAL
30.43,73.64,1.15,5.42,LOW,HIGH,LOW,NORMAL
27.79,70.7,1.34,5.72,NORMAL,MEDIUM,MEDIUM,NORMAL
34.74,60.49,1.67,11.7,MEDIUM,NORMAL,HIGH,NORMAL
29.33,60.1,1.31,17.75,NORMAL,NORMAL,MEDIUM,NORMAL
24.99,61.11,1.6,58.49,NORMAL,NORMAL,HIGH,LOW
24.48,68.95,1.58,57.69,NORMAL,LOW,HIGH,LOW
35.34,66.61,1.24,86.21,MEDIUM,NORMAL,LOW,HIGH
24.61,70.63,1.19,12.6,NORMAL,MEDIUM,LOW,NORMAL
29.47,67.11,1.66,98.96,NORMAL,LOW,HIGH,HIGH
27.69,69.77,1.5,43.6,NORMAL,LOW,MEDIUM,NORMAL
39.35,61.18,1.47,80.29,HIGH,NORMAL,MEDIUM,MEDIUM
39.44,64.38,1.21,32.67,HIGH,NORMAL,LOW,NORMAL
26.94,62.08,0.9,73.57,NORMAL,NORMAL,NORMAL,MEDIUM
31.75,64.78,1.53,48.89,LOW,NORMAL,HIGH,NORMAL
33.64,65.53,1.2,24.87,LOW,NORMAL,LOW,NORMAL
27.16,62.73,1.14,31.78,NORMAL,NORMAL,LOW,NORMAL
38.4,70.35,1.53,84.21,HIGH,MEDIUM,HIGH,MEDIUM
26.75,74.03,1.65,46.96,NORMAL,HIGH,HIGH,NORMAL
24.1,72.49,1.23,40.48,NORMAL,MEDIUM,LOW,NORMAL
33.19,63.54,0.96,63.59,LOW,NORMAL,NORMAL,LOW
26.14,60.56,1.14,66.95,NORMAL,NORMAL,LOW,LOW
33.23,73.79,1.08,9.1,LOW,HIGH,NORMAL,NORMAL
26.09,73.35,1.03,97.81,NORMAL,HIGH,NORMAL,HIGH
28.35,60.45,1.06,72.47,NORMAL,NORMAL,NORMAL,MEDIUM
35.05,72.4,1.29,66.28,MEDIUM,MEDIUM,LOW,LOW
28.43,67.14,1.27,47.95,NORMAL,LOW,LOW,NORMAL
25.02,72.26,1.13,62.37,NORMAL,MEDIUM,LOW,LOW
39.42,64,1.6,13.95,HIGH,NORMAL,HIGH,NORMAL
25.07,71.31,1.44,90.65,NORMAL,MEDIUM,MEDIUM,HIGH
33.16,60.42,0.95,68.85,LOW,NORMAL,NORMAL,LOW
37.78,70.16,1.19,52.25,MEDIUM,MEDIUM,LOW,LOW
35.79,74.82,1.35,38.1,MEDIUM,HIGH,MEDIUM,NORMAL
24.62,66.67,0.99,75.77,NORMAL,NORMAL,NORMAL,MEDIUM
30.58,74.04,0.98,65.11,LOW,HIGH,NORMAL,LOW
37.47,64.76,1.45,65.79,MEDIUM,NORMAL,MEDIUM,LOW
28.54,61.33,1.02,28.84,NORMAL,NORMAL,NORMAL,NORMAL
37.49,69.84,1.37,86.68,MEDIUM,LOW,MEDIUM,HIGH
30.16,67.66,1.63,62.29,LOW,LOW,HIGH,LOW
26.59,71.31,0.95,64.62,NORMAL,MEDIUM,NORMAL,LOW
31.79,66.67,1.57,30.46,LOW,NORMAL,HIGH,NORMAL
25.8,69.97,1.09,65.19,NORMAL,LOW,NORMAL,LOW
33.66,73.32,1.41,61.75,LOW,HIGH,MEDIUM,LOW
39.91,67.45,1.22,75.98,HIGH,LOW,LOW,MEDIUM
33.53,71.8,1.18,24.63,LOW,MEDIUM,LOW,NORMAL
30.12,63.52,1.03,53.56,LOW,NORMAL,NORMAL,LOW
39.34,61.73,1.65,40.38,HIGH,NORMAL,HIGH,NORMAL
24.56,69.56,1.19,47.32,NORMAL,LOW,LOW,NORMAL
32.71,60.36,1.33,37,LOW,NORMAL,MEDIUM,NORMAL
24.24,60.25,1.17,57.76,NORMAL,NORMAL,LOW,LOW
27.26,69.74,1.67,12.94,NORMAL,LOW,HIGH,NORMAL
36.65,69.72,1.21,40.2,MEDIUM,LOW,LOW,NORMAL
28.96,61.14,0.93,51.84,NORMAL,NORMAL,NORMAL,LOW
24.4,69.7,1.35,16.62,NORMAL,LOW,MEDIUM,NORMAL
34.54,67.65,1.34,87.9,MEDIUM,LOW,MEDIUM,HIGH
27.88,73.77,1.63,65.36,NORMAL,HIGH,HIGH,LOW
36.96,63.17,1.35,91.16,MEDIUM,NORMAL,MEDIUM,HIGH
28.38,68.23,0.9,44,NORMAL,LOW,NORMAL,NORMAL
32.61,61.31,1.43,97.43,LOW,NORMAL,MEDIUM,HIGH
32.23,65.26,1.28,64.56,LOW,NORMAL,LOW,LOW
39.01,60.9,1.41,80.2,HIGH,NORMAL,MEDIUM,MEDIUM
33.87,67.7,1.46,45.79,LOW,LOW,MEDIUM,NORMAL
24.93,67.46,1.4,60.35,NORMAL,LOW,MEDIUM,LOW
35.08,60.33,1.4,22.49,MEDIUM,NORMAL,MEDIUM,NORMAL
29.23,65.94,1.08,49.45,NORMAL,NORMAL,NORMAL,NORMAL
27.81,73.74,1.31,56.42,NORMAL,HIGH,MEDIUM,LOW
30.85,63.15,1.44,92.88,LOW,NORMAL,MEDIUM,HIGH
36.74,63.52,1.07,35.24,MEDIUM,NORMAL,NORMAL,NORMAL
36.93,64.64,1.62,39.57,MEDIUM,NORMAL,HIGH,NORMAL
33.39,67.21,0.96,70.57,LOW,LOW,NORMAL,MEDIUM
38.61,69.75,0.94,16.67,HIGH,LOW,NORMAL,NORMAL
33.74,63.9,1.5,49.47,LOW,NORMAL,MEDIUM,NORMAL
29.15,64.61,1.61,94.08,NORMAL,NORMAL,HIGH,HIGH
32.47,70.19,1.54,17.67,LOW,MEDIUM,HIGH,NORMAL
25.07,60.16,1.22,72.49,NORMAL,NORMAL,LOW,MEDIUM
26.27,72.49,1.09,60,NORMAL,MEDIUM,NORMAL,LOW
33.98,74,1.09,87.21,LOW,HIGH,NORMAL,HIGH
24.17,67.18,1.62,34.74,NORMAL,LOW,HIGH,NORMAL
38.16,65.72,1.47,29.81,HIGH,NORMAL,MEDIUM,NORMAL
31.56,63.32,1.3,99.1,LOW,NORMAL,LOW,HIGH
32.71,62.19,0.96,10.04,LOW,NORMAL,NORMAL,NORMAL
32.01,73.9,1.55,10.03,LOW,HIGH,HIGH,NORMAL
38.07,60.74,1.4,90.14,HIGH,NORMAL,MEDIUM,HIGH
36.83,74.83,1.09,31.48,MEDIUM,HIGH,NORMAL,NORMAL
26.95,66.06,1.04,96.09,NORMAL,NORMAL,NORMAL,HIGH
33.14,71.48,1.45,5.86,LOW,MEDIUM,MEDIUM,NORMAL
25.72,69.33,1.26,82.16,NORMAL,LOW,LOW,MEDIUM
36.71,64.78,1.47,69.95,MEDIUM,NORMAL,MEDIUM,LOW
35.73,72.93,1.67,54.46,MEDIUM,MEDIUM,HIGH,LOW
31.37,62.91,1.09,76.43,LOW,NORMAL,NORMAL,MEDIUM
32.3,62.21,1.45,93.92,LOW,NORMAL,MEDIUM,HIGH
36.39,65.2,1.15,93.03,MEDIUM,NORMAL,LOW,HIGH
25.44,73.86,1.03,23.18,NORMAL,HIGH,NORMAL,NORMAL
37.04,70.69,0.99,78.17,MEDIUM,MEDIUM,NORMAL,MEDIUM
28.82,64.75,1.36,57.37,NORMAL,NORMAL,MEDIUM,LOW
38.74,65.17,1.27,86.62,HIGH,NORMAL,LOW,HIGH
35.69,70.68,1.32,36.73,MEDIUM,MEDIUM,MEDIUM,NORMAL
28.58,70.93,1.4,24.37,NORMAL,MEDIUM,MEDIUM,NORMAL
24.47,61.16,1.3,95.51,NORMAL,NORMAL,LOW,HIGH
39.54,62.19,1.27,26.36,HIGH,NORMAL,LOW,NORMAL
26.48,62.02,1.28,28.84,NORMAL,NORMAL,LOW,NORMAL
33.41,64.34,1.28,77.29,LOW,NORMAL,LOW,MEDIUM
38.3,68.86,1.69,81.12,HIGH,LOW,HIGH,MEDIUM
30.77,72.13,1.15,52.34,LOW,MEDIUM,LOW,LOW
39.67,72.02,0.96,26.3,HIGH,MEDIUM,NORMAL,NORMAL
33.96,74.14,0.98,92.22,LOW,HIGH,NORMAL,HIGH
26.46,69.84,1.25,37.25,NORMAL,LOW,LOW,NORMAL
31.24,74.05,1.45,72.37,LOW,HIGH,MEDIUM,MEDIUM
35.39,69.55,1.48,86.14,MEDIUM,LOW,MEDIUM,HIGH
33.07,65.66,1.66,15.9,LOW,NORMAL,HIGH,NORMAL
32.47,68.86,1.3,46.2,LOW,LOW,LOW,NORMAL
34.01,74.33,1.68,19.28,MEDIUM,HIGH,HIGH,NORMAL
36.27,69.97,1.42,69.55,MEDIUM,LOW,MEDIUM,LOW
36.36,61.4,1.57,99.61,MEDIUM,NORMAL,HIGH,HIGH
26.74,73.19,1.25,13.29,NORMAL,HIGH,LOW,NORMAL
30.76,60.86,1.59,50.64,LOW,NORMAL,HIGH,LOW
32.31,66.74,1.45,89.48,LOW,NORMAL,MEDIUM,HIGH
34.64,68.01,1.17,77.32,MEDIUM,LOW,LOW,MEDIUM
30.15,60.62,1.11,54.39,LOW,NORMAL,LOW,LOW
38.45,70.73,1.27,34.27,HIGH,MEDIUM,LOW,NORMAL
36.99,74.26,1.38,66.03,MEDIUM,HIGH,MEDIUM,LOW
27.07,66.45,1.6,60.99,NORMAL,NORMAL,HIGH,LOW
24.68,73.35,1.49,24.84,NORMAL,HIGH,MEDIUM,NORMAL
29.36,67.47,1.58,85.26,NORMAL,LOW,HIGH,HIGH
24.35,67.72,1.58,97.48,NORMAL,LOW,HIGH,HIGH
28.26,67.07,1.31,16.05,NORMAL,LOW,MEDIUM,NORMAL
39.58,66.06,1.58,57.46,HIGH,NORMAL,HIGH,LOW
38.48,61.77,1.34,53.53,HIGH,NORMAL,MEDIUM,LOW
35.44,72.37,1.19,17.16,MEDIUM,MEDIUM,LOW,NORMAL
29.81,64.11,0.98,54.33,NORMAL,NORMAL,NORMAL,LOW
35.98,64.22,1.17,82.39,MEDIUM,NORMAL,LOW,MEDIUM
28.7,69.63,1.43,69.49,NORMAL,LOW,MEDIUM,LOW
32.32,60.01,1.07,52.41,LOW,NORMAL,NORMAL,LOW
37.89,62.67,1.36,56.98,MEDIUM,NORMAL,MEDIUM,LOW
36.83,65.16,1.52,42.5,MEDIUM,NORMAL,HIGH,NORMAL
36.43,72.37,1.64,34.66,MEDIUM,MEDIUM,HIGH,NORMAL
39.36,64.43,1.43,15.81,HIGH,NORMAL,MEDIUM,NORMAL
28.21,68.37,0.93,85.21,NORMAL,LOW,NORMAL,HIGH
30.49,66.16,1.68,71.54,LOW,NORMAL,HIGH,MEDIUM
27.78,73,1.2,19.41,NORMAL,MEDIUM,LOW,NORMAL
31.53,64.09,1.3,47.09,LOW,NORMAL,LOW,NORMAL
26.75,68.86,1.31,67.84,NORMAL,LOW,MEDIUM,LOW
36.91,74.22,1.34,97.09,MEDIUM,HIGH,MEDIUM,HIGH
24.05,61.85,1.61,70.65,NORMAL,NORMAL,HIGH,MEDIUM
32.32,62.34,1.36,69.95,LOW,NORMAL,MEDIUM,LOW
27.93,65.35,0.98,74.5,NORMAL,NORMAL,NORMAL,MEDIUM
25.76,72,1.52,58.36,NORMAL,MEDIUM,HIGH,LOW
33.04,70.7,0.93,18.05,LOW,MEDIUM,NORMAL,NORMAL
32.42,68.25,1.37,56.58,LOW,LOW,MEDIUM,LOW
31.1,73.72,1.59,37.03,LOW,HIGH,HIGH,NORMAL
26.11,74.92,1.11,74.28,NORMAL,HIGH,LOW,MEDIUM
39.07,73.32,1.23,36.88,HIGH,HIGH,LOW,NORMAL
28.82,60.73,1.52,28.24,NORMAL,NORMAL,HIGH,NORMAL
34.27,66.04,1.04,28.36,MEDIUM,NORMAL,NORMAL,NORMAL
27.38,72.49,1.44,77.41,NORMAL,MEDIUM,MEDIUM,MEDIUM
36.06,64.15,1.2,17.08,MEDIUM,NORMAL,LOW,NORMAL
39.78,61.88,1.38,22.99,HIGH,NORMAL,MEDIUM,NORMAL
29.37,71.78,1.35,90.5,NORMAL,MEDIUM,MEDIUM,HIGH
35.35,60.76,0.94,33.15,MEDIUM,NORMAL,NORMAL,NORMAL
30.55,68.38,1.62,65.21,LOW,LOW,HIGH,LOW
31.26,63.62,1.7,56.4,LOW,NORMAL,HIGH,LOW
36.12,61.37,1.44,78.87,MEDIUM,NORMAL,MEDIUM,MEDIUM
26.08,72.01,1.55,93.52,NORMAL,MEDIUM,HIGH,HIGH
36,61.83,0.92,52.1,MEDIUM,NORMAL,NORMAL,LOW
34.7,63.82,1.33,82.48,MEDIUM,NORMAL,MEDIUM,MEDIUM
33.31,74.15,1.4,57.12,LOW,HIGH,MEDIUM,LOW
37.61,69.65,1.01,92.39,MEDIUM,LOW,NORMAL,HIGH
25.89,72.75,0.91,89.41,NORMAL,MEDIUM,NORMAL,HIGH
39.89,72.46,1.53,31.64,HIGH,MEDIUM,HIGH,NORMAL
